rid,producer
r7854,Momoiro Gekijou
r7857,ALL-TiME
r7866,propeller
r7879,DISCOVERY
r7937,Complet's
r7942,MAGES.
r7942,NITRO PLUS
r7942,Red Flagship
r7943,FLAT
r7948,ALcot
r7948,ALcot Honey Comb
r7949,Cing
r7949,KOEI TECMO
r7963,X-BangBang
r7964,Silver Bullet
r7965,Applique
r7967,Nippon Ichi Software
r7967,TEXT.
r7969,Ail
r7969,Ail [Team Isis]
r7970,BISHOP
r7971,BISHOP
r7981,Ume Soft
r7991,ZERO
r8005,Ame no Murakumo
r8007,Cowper
r8007,"Silver Bullet Co., Ltd."
r8010,Blue Gale Light
r8019,Shiratama
r8019,WillPlus
r8020,Shiratama
r8020,WillPlus
r8030,Bandai Namco Entertainment Inc.
r8030,guyzware
r8035,Waffle
r8056,BISHOP
r8084,ZERO
r8096,D3PUBLISHER
r8096,INTENSE
r8104,minori
r8105,TerraLunar
r8106,Moon Base
r8111,LANGuex
r8115,Blue Gale DL
r8119,Winters
r8122,Shiritsu Sakuranbo Shougakkou
r8128,Hudson Soft
r8133,Business Partner
r8133,raiL-soft
r8138,non color
r8153,Guzu de Noroma na Kame desu kara.
r8159,NITRO PLUS
r8170,Strikes
r8181,Actress
r8196,Raccoon
r8200,TOPCAT
r8213,Black Lilith
r8221,Black Lilith
r8228,Unison Shift
r8242,Devil-seal
r8242,Softhouse-Seal
r8247,Rose Tiara
r8256,Fairytale Ethix
r8256,"F&C Co., Ltd."
r8265,Fortune♪
r8265,Takayashiki Kaihatsu
r8271,C's Ware
r8274,CLOCKUP
r8274,CLOCKUP team.DYO
r8279,Hiyoko Soft (old)
r8292,DEEPBLUE
r8300,Goku-Fero
r8302,Rasinban
r8308,Chunsoft
r8308,SEGA
r8313,Hiyokobanchou
r8336,High Soft
r8339,Hina Soft
r8339,Kuro Hina
r8362,Frontwing
r8363,Petit KeroQ
r8396,Production I.G
r8396,Sony Interactive Entertainment
r8396,Sugar and Rockets Inc.
r8402,VALKYRIA
r8410,Under Lip
r8424,Softhouse-Seal
r8425,Crepe
r8436,Gekidan Kinmirai
r8436,Norn
r8439,Force
r8440,Force
r8450,Foster
r8455,Atelier Kaguya
r8455,Atelier Kaguya TEAM HEARTBEAT
r8457,Atelier Kaguya
r8457,Atelier Kaguya TEAM HEARTBEAT
r8466,Norn
r8477,Black Package Try
r8498,Hina Soft
r8498,Kuro Hina
r8508,Liquid
r8512,Black Lilith
r8537,Lass
r8540,Hina Soft
r8540,Kuro Hina
r8542,Sweetpain
r8542,Tomato
r8565,Shiritsu Sakuranbo Shougakkou
r8576,Fairytale
r8576,"F&C Co., Ltd."
r8602,age
r8619,BLACK PACKAGE
r8621,Alice Soft
r8636,Blue Gale
r8638,13cm
r8640,"Imagineer Co., Ltd."
r8640,"Multimedia Intelligence Transfer Co., Ltd."
r8650,Unison Shift
r8651,M no Violet
r8656,MBS Truth
r8664,Marigold
r8664,Pin Heal
r8673,Liquid
r8682,Fairytale
r8682,IDES
r8694,DOG
r8694,Square Co.
r8695,Square Co.
r8698,SEGA
r8699,Nico
r8709,Game Arts
r8711,"Design Factory Co., Ltd."
r8711,"Idea Factory Co., Ltd."
r8711,Otomate
r8731,Enix
r8731,Horii Yuuji
r8749,Xing Entertainment
r8752,Cocktail Soft
r8752,IDES
r8754,KONAMI
r8766,0verflow
r8767,0verflow
r8779,TinkerBell
r8806,D3PUBLISHER
r8806,Tamsoft Corporation
r8811,WorkJam
r8817,Vivid Color
r8852,Cing
r8852,Nintendo
r8861,Potage
r8865,BLACKRAINBOW
r8871,CATTLEYA
r8872,TinkerBell
r8877,MTO
r8901,Blue Topaz
r8908,Touchy
r8912,Rose Crown
r8921,ASCII Corporation
r8921,Login Soft
r8921,Pax Softnica
r8929,ZyX
r8937,TKO Soft
r8950,ScooP
r8952,ERFOLG
r8962,MediaWorks
r8962,Vridge Inc.
r8969,Alice Soft
r8971,Maika
r8974,MediaWorks
r8974,Netchubiyori Ltd.
r8984,Kurai Heya Seisaku Iinkai
r8989,HuneX
r8989,NEC Home Electronics
r8993,NITRO PLUS
r9021,Hiyokobanchou
r9025,Deep Zone
r9076,SQUEEZ
r9077,VALKYRIA
r9085,Arkham
r9086,Shiritsu Sakuranbo Shougakkou
r9093,Colors
r9100,PANDAHOUSE
r9105,Lilith Soft
r9116,Dieselmine
r9118,Norn
r9134,Rolling Star
r9134,Shining Star
r9136,Rolling Star
r9136,Shining Star
r9152,BISHOP
r9156,Tetratech
r9157,TinkerBell
r9166,SAGA PLANETS
r9170,k-ten
r9179,hourglass
r9184,Giant Panda
r9186,Hina Soft
r9186,Kuro Hina
r9198,INTERHEART
r9200,BISHOP
r9202,Abogado Powers
r9222,Anime Lilith
r9231,Softhouse-Seal
r9242,Magical Girl
r9253,Sol-fa-soft
r9255,Mercurius
r9256,Sol-fa-soft
r9258,Sol-fa-soft
r9260,Sol-fa-soft
r9262,Blank Note
r9265,Sol-fa-soft
r9267,ZERO
r9277,Sol-fa-soft
r9279,Sol-fa-soft
r9281,Sol-fa-soft
r9282,Sol-fa-soft
r9284,Muscadet
r9303,Rolling Star
r9306,Rolling Star
r9336,Ather
r9344,Sage
r9346,Sage
r9358,"SIMS Co., Ltd."
r9367,LiLiM
r9370,Mu
r9389,Soft Circle Courreges
r9394,Score
r9395,M no Violet
r9399,SAGA PLANETS
r9411,Petit Ferret
r9449,ALcot
r9452,GIGA
r9466,Fish Cafe
r9509,Dieselmine
r9558,Black Cyc
r9560,Lilith Soft
r9565,BISHOP
r9569,Tinkor Bell
r9616,Lover Soul
r9618,Digital Lover
r9622,Magical Girl
r9624,RA/MNESS
r9677,ZERO
r9678,Chunsoft
r9686,Rose Crown
r9689,FlyingShine
r9691,GIGA
r9691,Team Baldrhead
r9705,"F&C Co., Ltd."
r9705,RED-ZONE
r9708,Ume Soft
r9722,NekoNeko Soft
r9728,Chain-Reaction
r9743,Re:verse
r9743,Softhouse-Seal
r9757,non color
r9758,Negative Gang
r9761,Sputnik
r9764,Aromarie
r9788,elle-murakami
r9792,Trinitron CG
r9800,HERMIT
r9805,Mocking Soft
r9809,Mocking Soft
r9818,Mocking Soft
r9820,Mocking Soft
r9825,Softhouse-Seal
r9834,Atelier Sakura
r9835,Will Tame
r9840,GIGA
r9848,Sol-fa-soft
r9849,Sol-fa-soft
r9850,Sol-fa-soft
r9851,Sol-fa-soft
r9853,Sol-fa-soft
r9856,Sol-fa-soft
r9857,Sol-fa-soft
r9859,Sol-fa-soft
r9862,Sol-fa-soft
r9863,Sol-fa-soft
r9866,Sol-fa-soft
r9869,Sol-fa-soft
r9872,Sol-fa-soft
r9873,Sol-fa-soft
r9877,Sol-fa-soft
r9887,Norn
r9892,Silky's
r9895,Miel
r9913,Alice Noir
r9921,Pawn
r9926,Hiyokobanchou
r9935,Silky's
r9977,Atelier Kaguya
r9977,Atelier Kaguya HonkyTonk Pumpkin
r9980,Rapapuru
r9984,Blue Gale ON DEMAND
r10000,Business Partner
r10000,raiL-soft
r10003,Blue Gale ON DEMAND
r10012,TARHS Entertainment
r10027,Karin Chatnoir Ω
r10055,honeybee
r10060,Lilith Soft
r10078,"JAST Co., Ltd."
r10078,Tiare
r10091,Kannazuki Seisakusho
r10102,Foster
r10107,"JAST Co., Ltd."
r10107,Tiare
r10119,Fuguriya
r10125,CIRCUS
r10125,La'cryma
r10140,hourglass
r10142,Bandai Namco Entertainment Inc.
r10142,guyzware
r10144,D3PUBLISHER
r10145,"CAPCOM Co., Ltd."
r10151,COMPILE HEART
r10154,Kamen Shoukai
r10190,Hakudakukei
r10197,Delta
r10209,skillup
r10212,Abogado Powers
r10218,Lass
r10231,Liar-soft
r10249,Vanadis
r10256,Courreges Ace
r10257,Succubus
r10258,Noctovision
r10258,SPEED
r10287,Lapis
r10287,NOA
r10313,Exception
r10313,Momoiro Gekijou
r10350,Arc System Works
r10364,Kamen Shoukai
r10371,KONAMI
r10377,VALKYRIA
r10383,Fairytale Ethix
r10383,"F&C Co., Ltd."
r10390,Autobahn
r10398,CIRCUS
r10404,Crus-Ade
r10463,NekoNeko Soft
r10465,Navel
r10466,Yama Garasu
r10467,Noesis
r10482,Hakutouka
r10487,dualtail
r10489,Trumple
r10517,Alice Soft
r10521,Kalmia*
r10521,Tatewaki
r10537,Broccoli
r10537,Nippon Ichi Software
r10540,ApRicoT
r10542,GIGA
r10543,TwoFive
r10552,Ooi
r10556,Studio Jaren
r10563,Swanmania
r10566,Miel
r10571,Blue Gale Light
r10579,Rose Tiara
r10580,Complet's
r10603,Caligula Soft
r10606,Uresen
r10611,Erotica Peach
r10616,elf
r10688,Actress
r10723,Studio Ryokucha
r10744,Enix
r10757,Unison Shift
r10757,Unison Shift: Blossom
r10781,Marvelous Inc.
r10793,Uran
r10804,Yuzusoft (Doujin group)
r10805,Yuzusoft (Doujin group)
r10811,Enix
r10812,Enix
r10851,Enix
r10894,HuneX
r10894,Interchannel
r10920,Awatake Takahiro
r10939,H+
r10958,FOG
r10958,Xuse
r10960,*coelacanth*
r10962,*coelacanth*
r10971,Silky's
r10978,Applique -Imouto-
r10982,Ume Soft
r10991,Torotoro Resistance
r10998,Saba
r11022,Blue Gale
r11084,Dress
r11097,07th Expansion
r11119,Hayashigumi
r11120,C's Ware
r11128,KONAMI
r11128,Tenky
r11132,Complet's
r11159,Witch
r11186,"Silver Bullet Co., Ltd."
r11186,Sky-High
r11189,Soft Circle Courreges
r11193,Atelier Kaguya
r11193,Atelier Kaguya TEAM HEARTBEAT
r11194,Princess Soft
r11200,Winters
r11235,Pink Tissue
r11246,Softhouse-Seal
r11247,for
r11249,for
r11252,for
r11273,NITRO PLUS
r11283,Nora
r11288,Nora
r11293,Jade
r11326,M no Violet
r11340,KISS
r11371,CoCodoCo
r11383,age
r11384,Ripe
r11385,Ripe
r11390,Luna System
r11408,HaccaWorks*
r11414,Triangle
r11423,KID
r11428,honeybee
r11439,ensemble
r11454,Guilty+
r11456,Guilty+
r11471,SORAHANE
r11472,Snapdragon
r11482,Shining Star Lily’s
r11500,MAGES.
r11500,NITRO PLUS
r11501,TRYSET
r11505,Custom
r11507,Ripe
r11514,age
r11524,AUGUST
r11535,Silky's
r11543,Whitesoft
r11554,MOONSTONE Cherry
r11561,KID
r11566,Eilis
r11571,NITRO CHiRAL
r11605,Operetta
r11636,Riverhill Soft inc.
r11642,Black Box
r11657,Alchemist
r11659,Studio Ebisu
r11661,Studio Ebisu
r11674,D.O.
r11675,Data East Corporation
r11677,KONAMI
r11677,WorkJam
r11679,Data East Corporation
r11681,KONAMI
r11681,WorkJam
r11684,Data East Corporation
r11688,Data East Corporation
r11690,Data East Corporation
r11721,KONAMI
r11721,WorkJam
r11722,KONAMI
r11722,WorkJam
r11723,KONAMI
r11723,WorkJam
r11724,KONAMI
r11724,WorkJam
r11735,Libido
r11750,Muscadet
r11755,ZERO
r11757,MBS Truth
r11784,Platinum Label
r11788,Black Cyc
r11835,elf
r11838,Fairytale
r11838,IDES
r11870,FLAT
r11903,Black Lilith
r11904,Black Lilith
r11915,Miyabi
r11927,Fuguriya
r11928,Fuguriya
r11933,LUCHA!
r11950,Poashara
r11964,BISHOP
r11968,BISHOP
r11973,KID
r11986,C's Ware
r11990,Guilty
r11996,Leaf
r12003,Nanika-Modoki
r12017,Beenyan
r12053,Pias
r12068,ScooP
r12095,spiel
r12115,Leaf
r12116,Rosebleu
r12117,Rosebleu
r12128,Courreges Ace
r12130,Touchy
r12158,CandySoft
r12169,Gazelle
r12172,Mireille
r12188,Black Lilith
r12189,Witch
r12199,rouge
r12202,Chiffon
r12210,KeroQ
r12229,Hobibox
r12229,Rengasha
r12235,Studio Momiji
r12250,Key
r12250,VISUAL ARTS
r12261,Anime Lilith
r12262,Anime Lilith
r12265,Fuguriya
r12281,Cavia Inc.
r12281,SEGA
r12315,The Dungeon In Yarn
r12322,"JAST Co., Ltd."
r12322,Tiare
r12330,Kodomo no Koe
r12351,Horoyoi Hiroba
r12358,ORCSOFT
r12381,light
r12392,SMEE
r12396,Jellyfish
r12405,Circle Oshare
r12412,Business Partner
r12412,Liar-soft
r12412,raiL-soft
r12413,Erogos
r12418,Hulotte
r12438,Nekobanana
r12443,Seven Wonder
r12447,Mini
r12470,Lilies Project
r12474,Bloom Handle
r12478,Ame no Murakumo
r12491,Waffle
r12497,Softhouse-Seal
r12511,light
r12515,BLACK PACKAGE
r12515,BP-5800
r12520,C's Ware
r12528,Penguin Works
r12535,Unknown
r12543,CD Bros.
r12543,Sekilala
r12548,C's Ware
r12550,C's Ware
r12574,Hina Soft
r12574,Kuro Hina
r12576,VEGA
r12589,Sekilala
r12604,Software House Parsley
r12612,KOEI TECMO
r12625,Pham!
r12643,Trabulance
r12650,AKABEiSOFT2
r12669,Graviton
r12689,Noesis
r12689,Twinkle
r12702,Trabulance
r12713,Trabulance
r12719,ivory
r12719,JANIS
r12721,Navel
r12724,Hayashigumi
r12731,MorningStar
r12757,Active
r12765,R.A.N Software
r12773,CROWD
r12815,Syangrila Smart
r12824,May-Be SOFT
r12833,Duke
r12843,Cocktail Soft
r12843,IDES
r12847,future
r12854,Morenatsu Project
r12863,Anime Lilith
r12863,Lilith Soft
r12890,Ume Soft
r12904,Xuse
r12924,Chain-Reaction
r12931,Little Sprout
r12932,Eushully
r12939,CATTLEYA
r12941,CATTLEYA
r12945,FlyingShine
r12945,GuiltyN
r13002,FlyingShine
r13002,rouge
r13089,AiCherry
r13089,Utamaro Soft
r13134,ALL-TiME
r13154,Marine
r13179,Eroro
r13204,Swanmania
r13206,Swaneye
r13221,Mini-mam
r13222,Shiritsu Sakuranbo Shougakkou
r13229,Hiyokobanchou
r13231,Praline
r13232,FORST
r13232,Guilty+
r13235,Onomatope*
r13250,13cm
r13253,Kuzuryuu
r13273,Shiritsu Sakuranbo Shougakkou
r13277,Lilith Soft
r13288,TAKUYO
r13297,Stray Moon
r13298,Stray Moon
r13299,Stray Moon
r13305,Aqnos
r13305,Yui Koubou
r13309,"Amenonuboko Co., Ltd."
r13309,Es-pot
r13319,Soft Circle Courreges
r13323,Hiyoko Soft
r13334,Dark Side
r13336,Black Lilith
r13352,Circle Oshare
r13355,High-Spirit
r13393,"Design Factory Co., Ltd."
r13393,"Idea Factory Co., Ltd."
r13393,Otomate
r13409,GuiltyN
r13420,BLACKRAINBOW
r13420,Nicotine Soft
r13425,Hina Soft
r13425,Kuro Hina
r13438,Shiritsu Sakuranbo Shougakkou
r13439,Shiritsu Sakuranbo Shougakkou
r13453,Swan
r13458,Atelier Sakura
r13470,Moviendo
r13473,Escu:de
r13516,Raspberry
r13517,Raspberry
r13588,Soft Circle Courreges
r13589,Soft Circle Courreges
r13590,Norn
r13595,Scramble House
r13622,VEGA
r13634,VEGA
r13649,Trabulance
r13681,D3PUBLISHER
r13681,Vridge Inc.
r13687,Misakura Nankotsu Harthnir
r13691,Calameliatorte
r13697,West Vision
r13700,BISHOP
r13718,age
r13722,Alice Soft
r13738,Fan-na
r13742,Burston
r13751,HYPERSPACE
r13767,Clochette
r13768,Meteor
r13775,ZERO
r13779,FlyingShine Black
r13788,MAGES.
r13788,NITRO PLUS
r13790,Active
r13813,Atelier Kaguya
r13813,Atelier Kaguya HonkyTonk Pumpkin
r13816,Easy Mode
r13859,VALKYRIA
r13877,Rootnuko
r13878,propeller
r13891,Fim Farum
r13895,Kumys
r13921,Maika
r13937,Applemint
r13958,Pinpai
r13967,0verflow
r13973,Melody
r13979,Sekai no Gomibako kara
r14016,Under Lip
r14020,Complet's
r14031,Winters
r14041,Winters
r14048,Team YokkyuFuman
r14053,Studio Ero House
r14055,Studio Ero House
r14057,OVERDRIVE
r14086,Bonbee!
r14093,Hina Soft
r14093,Kuro Hina
r14163,Akatsuki WORKS -Hibiki-
r14171,KONAMI
r14171,RED
r14172,B Works
r14175,INTERHEART
r14175,"Interheart Co., Ltd."
r14205,Lilith Soft
r14213,Tange Kentou Kurabu
r14215,DMM
r14226,Vanadis
r14242,MEPHISTO
r14250,CROCORE
r14271,Spicy Tails
r14280,Navel
r14300,Pumpkin
r14303,ZERO
r14304,Studio Kame
r14304,Studio Kame -Deep-
r14307,RED
r14307,Rejet
r14316,Rose Tiara
r14331,Guilty
r14355,Poseidon
r14364,CUFFS
r14378,Miel
r14410,May-Be SOFT
r14428,Aaru
r14432,Atelier Kaguya
r14432,Atelier Kaguya TEAM HEARTBEAT
r14446,Digi Anime
r14449,Jewelry
r14459,Purple software
r14470,mignonne
r14473,Makura
r14474,FAVORITE
r14490,CYBERFRONT
r14490,Kogado Studio
r14494,Dandelion
r14495,Silver Bullet
r14504,Kagura Dou
r14518,Dieselmine
r14519,MangaGamer
r14519,OVERDRIVE
r14543,Business Partner
r14543,Liar-soft
r14558,Softhouse-Seal
r14575,CLOCKUP
r14588,Cybele
r14599,Cybele
r14622,Silver Bullet
r14626,SofthouseChara
r14627,Meteor
r14628,Champion Soft
r14640,X-BangBang
r14657,Notus
r14666,GIGA
r14690,Terios
r14710,TinkerBell
r14715,Operetta
r14748,FragiLe
r14749,Catear
r14757,Akatsuki WORKS
r14758,Akatsuki WORKS
r14759,Akatsuki WORKS
r14760,Eushully
r14761,Akatsuki WORKS -Hibiki-
r14762,Akatsuki Works Black
r14766,Caramel BOX
r14767,Caramel BOX
r14767,Caramel BOX Ichigo-aji
r14768,Caramel BOX
r14768,Caramel BOX Ichigo-aji
r14770,Caramel BOX
r14772,Caramel BOX
r14774,Caramel BOX
r14787,Shiritsu Sakuranbo Shougakkou
r14788,Cure Light
r14823,Applique
r14826,AKABEiSOFT2
r14827,Tsuki no Akubi
r14837,Clochette
r14843,Twinkle
r14847,PULLTOP
r14864,130cm
r14866,130cm
r14868,PULLTOP
r14870,PULLTOP
r14874,PULLTOP
r14878,Eushully
r14879,PULLTOP
r14887,TerraLunar
r14896,Lump of Sugar
r14924,Fairytale
r14924,IDES
r14944,riffraff
r14945,Lilac Soft
r14950,Eleonora
r14958,Ands
r14969,Mu
r14972,Sogna
r14973,Sogna
r14980,Debo no Su Seisakusho
r14983,Hiyoko Soft
r14984,Lilac Soft
r14990,TinkerBell
r15011,MOONSTONE
r15032,Studio Oguma
r15052,Miel
r15062,Appetite
r15068,MAGES.
r15069,MAGES.
r15077,Hakudakukei
r15096,Iris
r15114,honeybee
r15140,honeybee
r15155,Triangle
r15161,PeasSoft
r15162,C: drive.
r15173,Yuzusoft
r15174,Yuzusoft
r15175,Yuzusoft
r15189,07th Expansion
r15190,07th Expansion
r15205,Mink
r15205,"Mink Co., Ltd."
r15217,TinkleBell
r15220,Mirai
r15275,G Spot
r15275,MorningStar
r15295,age
r15295,Pure Platinum
r15298,ALcot
r15310,Mugen Kidou
r15321,Rosebleu
r15323,Enterbrain!
r15323,NITRO PLUS
r15327,Whirlpool
r15334,"Design Factory Co., Ltd."
r15334,"Idea Factory Co., Ltd."
r15334,Otomate
r15336,GIGA
r15337,BISHOP
r15338,Akatsuki Works Black
r15339,Atelier Sakura
r15350,KID
r15370,Noctovision
r15370,SPEED
r15375,Atelier Kaguya
r15411,Lump of Sugar
r15437,KeroQ
r15449,Studio Momiji
r15458,CATTLEYA
r15470,Rapapuru
r15475,Ume Soft
r15476,Applique -Imouto-
r15501,Broccoli
r15507,Digital Network Service
r15507,Infinity
r15509,Infinity
r15511,Pancake
r15515,D3PUBLISHER
r15515,Vridge Inc.
r15518,EFFORDOM SOFT
r15546,NanaWind
r15552,Black Lilith
r15563,PeasSoft
r15583,Shining Star Lily’s
r15590,Soft Circle Courreges
r15602,Marmalade
r15605,catwalk
r15626,Maple
r15647,Dandelion
r15651,Chunsoft
r15654,CUBE
r15657,BasiL
r15684,elf
r15685,elf
r15687,Business Partner
r15687,raiL-soft
r15696,D.O.
r15698,elf
r15699,Hato-King
r15708,Kyoushuu Hanaya
r15716,Cabbit
r15719,Poison@Berry
r15725,G.J?
r15735,Torotoro Resistance
r15747,ZyX
r15748,ZyX
r15754,Yoru no Hitsuji
r15757,VALKYRIA
r15802,Miel
r15804,Spray
r15805,Appetite
r15808,Mink
r15817,CIRCUS
r15832,DMM
r15839,Complet's
r15840,Complet's
r15847,Rose Tiara
r15898,MorningStar
r15900,DIGICLA
r15968,Voltage Inc.
r15975,Lilith Soft
r16005,etude
r16008,Palette
r16016,Black Package Try
r16034,West Vision
r16039,Real
r16054,"Idea Factory Co., Ltd."
r16054,Otomate
r16054,Rejet
r16055,"Design Factory Co., Ltd."
r16055,"Idea Factory Co., Ltd."
r16055,Otomate
r16056,Lillian
r16068,eants
r16068,Telenet Japan
r16069,Minato Soft
r16074,Ricotta
r16118,Trifolium Garden
r16124,CLOCKUP
r16133,Nine's Fox
r16146,ASa Project
r16151,Key
r16170,#define
r16172,PacoProject
r16184,Akatsuki Works Black
r16189,D3PUBLISHER
r16189,Vridge Inc.
r16201,C's Ware
r16206,I-Raf-You
r16207,I-Raf-You
r16210,QuinRose
r16212,ROSEVERTE
r16215,Studio Ero House
r16223,Lusterise
r16227,Black Lilith
r16279,PIL/SLASH
r16304,Pancake
r16328,SQUEEZ
r16352,Rejet
r16401,mana
r16402,Appetite
r16413,Parthenon
r16418,Parthenon
r16434,Parthenon
r16436,Parthenon
r16484,Selen
r16526,Hina Soft
r16526,Momo Hina
r16527,Hina Soft
r16527,Moe Hina
r16530,Escu:de
r16538,Chiffon
r16558,Navel
r16559,ALcot Honey Comb
r16561,Atelier Sakura
r16581,Epics Inc.
r16581,SQUARE ENIX
r16597,Yumemisou
r16598,SofthouseChara
r16602,HOOKSOFT
r16620,Comfort
r16620,HuneX
r16626,Plum Zero
r16663,minori
r16668,Heiantei
r16678,Overdose
r16680,Mink
r16686,Ex-One
r16714,Tange Kentou Kurabu
r16720,Tange Kentou Kurabu
r16759,Under Lip
r16761,Under Lip
r16763,Under Lip
r16766,Under Lip
r16773,Under Lip
r16779,Under Lip
r16814,G Spot
r16814,MorningStar
r16831,MorningStar
r16840,ORANGE PEKOE
r16847,White
r16852,feng
r16872,Noesis
r16873,ALcot
r16884,ALcot Honey Comb
r16885,ALcot
r16886,TYPE-MOON
r16893,Sogna
r16895,Sogna
r16902,ZyX
r16940,Stein Gar Coo
r16950,Foster
r16963,Arkham Products
r16963,Rewnoss
r16972,MorningStar
r16997,a Matures
r17010,ALcot Honey Comb
r17012,Euphony Production
r17017,ZERO
r17030,TEAM POPUP
r17056,Norn
r17058,Atelier Kaguya
r17058,Atelier Kaguya HonkyTonk Pumpkin
r17059,etude
r17084,Shining Star
r17095,Appetite
r17097,AngelSmile
r17100,Lucha Libre
r17137,Sky Walk
r17138,Sky Walk
r17139,Sky Walk
r17147,Autobahn
r17167,Autobahn
r17178,Fuguriya
r17179,light
r17209,atelier773
r17211,Fuguriya
r17241,ORCSOFT
r17241,ORCSOFT TEAM GOBLIN
r17241,Team-Tanabe
r17253,Ume Soft
r17258,Winters
r17274,Torpedo
r17279,MorningStar
r17287,Norn
r17302,13cc
r17313,ANIM
r17313,ANIM.teamMM
r17319,Liquid
r17323,Swanmania
r17358,Erectlip
r17360,ωstar
r17361,Reverv
r17365,Tactics
r17377,Platonic F.F
r17381,Soleil
r17381,Spiral
r17405,Alice Soft
r17423,Chime
r17423,JANIS
r17425,Fairytale
r17425,IDES
r17436,Heisendou
r17443,Alice Soft
r17443,Core Magazine
r17463,ScooP
r17470,Hina Soft
r17470,Momo Hina
r17482,JANIS
r17482,Studio Jikkenshitsu
r17491,Rejet
r17513,Black Lilith
r17526,MorningStar
r17588,FAIRYTALE HARDCOVER
r17588,IDES
r17607,G Spot
r17607,MorningStar
r17609,G Spot
r17609,MorningStar
r17617,Navel
r17623,G Spot
r17623,MorningStar
r17628,Alice Soft
r17640,Alice Soft
r17643,Alice Soft
r17655,Himeya Soft
r17673,Cocktail Soft
r17673,IDES
r17674,D.O.
r17675,D.O.
r17680,Fairytale
r17680,Game Technopolis
r17680,Tokuma Shoten Publishing Co.
r17693,Peach Soft
r17698,Four-Nine
r17712,Foster
r17715,Foster
r17718,Foster
r17720,Foster
r17722,Foster
r17727,IDES
r17727,RED-ZONE
r17730,Crystal Soft
r17733,Akatsuki WORKS
r17750,Swat
r17750,Xyz
r17753,elf
r17784,Arrow Soft
r17784,Micro Cabin
r17786,Silky's
r17797,Melody
r17801,Fairytale
r17801,IDES
r17803,Active
r17808,Japan Home Video
r17812,Heisendou
r17836,Mocking Soft
r17838,Heisendou
r17857,Family Soft
r17858,Production I.G
r17858,Sony Interactive Entertainment
r17858,Sugar and Rockets Inc.
r17891,Silky's
r17894,FAIRYTALE HARDCOVER
r17894,IDES
r17899,Sorciere
r17900,Birdy Soft
r17927,Silence
r17947,JAST
r17947,"JAST Co., Ltd."
r17960,Maten
r17974,Abogado Powers
r17976,Silence
r17976,Takeru
r17987,Misty
r17990,FMC
r17990,IDES
r17993,Ucom
r17998,HARD
r18005,MOONSTONE
r18006,Lump of Sugar
r18018,Silence
r18018,Takeru
r18019,Silence
r18019,Takeru
r18020,Silence
r18020,Takeru
r18021,Silence
r18021,Takeru
r18022,Silence
r18022,Takeru
r18023,Silence
r18023,Takeru
r18024,Silence
r18024,Takeru
r18025,Silence
r18025,Takeru
r18026,Silence
r18026,Takeru
r18027,Silence
r18027,Takeru
r18028,Silence
r18028,Takeru
r18029,Silence
r18029,Takeru
r18033,PIL
r18040,Natsume
r18043,Dieselmine
r18051,Fairytale
r18051,IDES
r18080,AIC Spirits
r18088,DISCOVERY
r18097,IDES
r18097,RED-ZONE
r18098,IDES
r18098,RED-ZONE
r18109,apricot
r18123,Cat's Pro.
r18140,Himeya Soft
r18146,Cocktail Soft
r18146,IDES
r18159,Queen Soft
r18162,JANIS
r18162,Studio Jikkenshitsu
r18169,JANIS
r18176,ivory
r18176,JANIS
r18197,07th Expansion
r18199,C's Ware
r18202,DISCOVERY
r18204,Silky's
r18206,Software House Parsley
r18217,ZyX
r18223,Aaru
r18236,Fairytale X-Shitei
r18236,Kirara
r18251,AyPio
r18251,"STONE HEADS Co., Ltd."
r18255,AIC Spirits
r18257,Gainax
r18262,age
r18285,"JAST Co., Ltd."
r18285,Tiare
r18337,desire
r18344,Tenshindou
r18357,13cm
r18368,D.O.
r18370,Himeya Soft
r18392,Pastelsoft
r18406,GIGA
r18429,Apricot Cherry
r18481,Frontwing
r18500,Natsu Otome
r18506,Natsu Otome
r18540,SAGA PLANETS
r18561,M no Violet
r18563,"Amenonuboko Co., Ltd."
r18563,UnderMoon
r18579,Otoko no Ko Soft
r18581,Kyousei Josou Kyousei Nyotaika Kyousei Otoko no Ko
r18623,Miel
r18632,NANACAN
r18638,Lime Green
r18654,Lime Green
r18671,Guilty eX
r18682,Atelier Sakura
r18698,SMEE
r18701,MOON GODDESS
r18708,MOON GODDESS
r18711,MOON GODDESS
r18713,MOON GODDESS
r18718,MOON GODDESS
r18719,MOON GODDESS
r18724,Uresen
r18729,Soft Circle Courreges
r18772,Fairytale X-Shitei
r18772,Kirara
r18774,Gainax
r18774,Takeru
r18782,HARD
r18783,HARD
r18818,HARD
r18865,Utsukiyo
r18873,Fairytale
r18873,Kirara
r18893,Sky Walk
r18894,Sky Walk
r18900,Alice Soft
r18941,MorningStar
r18977,Lose
r19028,Fairytale
r19028,Kirara
r19029,Fairytale
r19029,Kirara
r19051,Arrow Soft
r19051,Micro Cabin
r19086,Sugar Pot
r19106,Rip@Lip
r19109,Rip@Lip
r19115,Rip@Lip
r19123,Hudson Soft
r19137,SystemSoft
r19159,TinkerBell
r19167,Appetite
r19190,WhiteMoor
r19211,Soft Circle Astarte
r19220,Actress
r19220,Prima
r19237,13cc
r19249,Cyc
r19256,Birdy Soft
r19268,Alice Soft
r19269,Alice Soft
r19284,Hyperiyon
r19296,Tunnel No.73
