rid,producer
r1445,Gainax
r1467,Bandai Namco Entertainment Inc.
r1467,guyzware
r1478,C's Ware
r1483,ScooP
r1486,ScooP
r1491,Black Cyc
r1499,ZIGZAG
r1500,"Banpresto Co., Ltd."
r1500,Pandora Box
r1505,Nanakorobi Hachikorogari
r1508,Yuzusoft
r1535,Frontwing
r1541,Frontwing
r1544,Frontwing
r1549,Eushully
r1550,Eushully
r1552,Eushully
r1554,Lune
r1554,Marigold
r1555,Navel
r1556,Ciel
r1575,CONCEPT
r1578,Heat-Soft
r1584,Key
r1586,Makura
r1600,Kogado Studio
r1600,Kuma-san Team
r1603,QuinRose
r1608,Shiratama
r1608,"Silver Bullet Co., Ltd."
r1614,Ribbon Magic
r1614,Tiaramode
r1615,CODEPINK
r1645,Winters
r1648,Phi Age
r1659,Xuse
r1660,RAM
r1665,Ail
r1665,Ail [Team Ru~ny]
r1671,Navel
r1683,Alice Soft
r1685,Spray
r1688,Interchannel
r1688,Spray
r1690,QuinRose
r1693,KID
r1697,KONAMI
r1699,Purple software
r1722,Kogado Studio
r1722,Kuroneko-san Team
r1724,Kidnap Company
r1726,HAL Laboratory
r1731,ASCII Corporation
r1731,Bits Laboratory
r1735,Taito Corporation
r1738,SofthouseChara
r1743,Alice Soft
r1744,Alice Soft
r1768,Liquid
r1776,Liquid
r1779,Liquid
r1782,Psycho
r1784,Psycho
r1786,OVERDRIVE
r1788,OVERDRIVE
r1812,"F&C Co., Ltd."
r1812,F&C FC01
r1816,FlyingShine
r1816,Le.Chocolat
r1819,Innocent Grey
r1845,Fuguriya
r1889,Fuguriya
r1891,ASa Project
r1892,Key
r1900,AKABEiSOFT2
r1905,RED
r1905,SEGA
r1916,Nexton
r1916,Score
r1920,G.J?
r1933,Abhar
r1936,Jellyfish
r1938,May-Be SOFT
r1941,SQUEEZ
r1943,Selen
r1952,BaseSon
r1965,MAGES.
r1965,NITRO PLUS
r1969,Karin Entertainment
r1976,Palette
r1979,FlyingShine
r1979,S.M.L
r1994,Foster
r1997,Foster
r2001,Koei
r2010,Ja no Michi wa Hebi Soft
r2017,Mixed Up
r2020,minori
r2023,Liar-soft
r2030,Kururi Active
r2044,Black Cyc
r2051,Zone
r2053,ninetail
r2058,Diva
r2067,Circletempo
r2071,BaseSon
r2080,Frontwing
r2080,Survive
r2088,light
r2093,Pajamas Soft
r2095,feng
r2097,light
r2099,Hiqo Soft
r2102,Langmaor
r2106,TinkerBell
r2107,SQUEEZ
r2108,Alice Soft
r2111,elf
r2121,elf
r2121,Nude Maker
r2138,Selen Advance
r2143,Alice Soft
r2145,Clear
r2161,Alice Soft
r2171,Terios
r2176,NekoNeko Soft
r2182,Artifact
r2185,dualtail
r2190,Studio e.go!
r2195,Regista
r2195,Yeti
r2196,KID
r2206,FlyingShine Black
r2209,Nekobanana
r2213,Leaf
r2214,CODEPINK
r2217,M ni Aqua
r2219,KID
r2223,KID
r2226,KID
r2230,FAVORITE
r2232,Atelier Kaguya
r2232,Atelier Kaguya HonkyTonk Pumpkin
r2236,Unknown
r2237,Tama-Soft
r2244,Enterbrain!
r2251,Purple software
r2262,JAST
r2262,"JAST Co., Ltd."
r2264,0verflow
r2269,GIGA
r2270,CRAFTWORK
r2271,KCET
r2271,KONAMI
r2274,KCET
r2274,KONAMI
r2279,Pajamas Soft
r2298,RUNE
r2304,Bonbee!
r2307,Terios
r2316,TRYSET
r2319,SQUEEZ
r2331,CIRCUS
r2333,Chunsoft
r2346,Bloom Handle
r2365,Circletempo
r2368,Selen
r2370,Tanuki Soft
r2379,Hudson Soft
r2389,Xuse
r2389,Xuse [Junmai]
r2395,Kogado Studio
r2395,Kuroneko-san Team
r2401,Enterbrain!
r2422,KID
r2430,KID
r2436,Tama-Soft
r2446,AQUAPLUS
r2446,STING
r2465,Persian Blue
r2467,Soft Circle Courreges
r2476,Tonkin House
r2486,Sakura Mint
r2488,elle-murakami
r2498,Chunsoft
r2498,SEGA
r2498,TYPE-MOON
r2531,Nekomarudou
r2540,GIGA
r2540,Team Baldrhead
r2541,Syangrila
r2558,Marmalade
r2562,QuinRose
r2565,Meteor
r2566,13cm
r2567,Whirlpool
r2571,KID
r2572,CYBERFRONT
r2572,KID
r2574,Pawn
r2607,Black Cyc
r2607,"Silver Bullet Co., Ltd."
r2616,AXL
r2617,May-Be SOFT
r2628,TinkleBell
r2632,light
r2643,Gainax
r2644,Gainax
r2648,SEGA
r2651,-atled- Seisaku Iinkai
r2661,Chunsoft
r2664,Nintendo
r2664,Nintendo R&D1
r2668,age
r2674,BLACKRAINBOW
r2678,Silver Bullet
r2681,Scrubbing
r2689,Escu:de
r2690,CIRCUS
r2690,Sweets
r2704,ALcot
r2707,NITRO PLUS
r2715,BEKKO.NET
r2718,Eerged
r2721,ASCII Media Works
r2721,Netchubiyori Ltd.
r2722,Unison Shift
r2734,AUGUST
r2735,NITRO CHiRAL
r2737,PIL/SLASH
r2738,Vivid Color
r2748,Terios
r2749,Gizmo
r2750,Spray
r2758,ZERO
r2771,Alice Soft
r2779,Chat Errant
r2792,Black Lilith
r2804,MorningStar
r2805,DisAbel
r2806,ωstar
r2808,RusK
r2812,Native
r2831,HERMIT
r2834,Black Cyc
r2837,Black Cyc
r2841,Foster
r2853,TinkerBell
r2854,Spray
r2855,CUFFS
r2856,KONAMI
r2856,Tenky
r2870,Purple software
r2880,Sputnik
r2881,Frontwing
r2885,ETERNAL
r2888,light
r2900,Lump of Sugar
r2907,FAVORITE
r2908,Pleats soft
r2909,Menou
r2913,"F&C Co., Ltd."
r2913,F&C FC01
r2942,Tail Wind
r2943,Guilty
r2948,Lilith Soft
r2951,Black Lilith
r2952,Lilith Soft
r2954,Lilith Soft
r2957,Black Lilith
r2975,NekoNeko Soft
r2977,NekoNeko Soft
r2978,NekoNeko Soft
r2981,NekoNeko Soft
r2982,KONAMI
r2994,guyzware
r2994,Killaware Ltd.
r2994,Marvelous Inc.
r2998,Hudson Soft
r2998,RED
r3003,Black Cyc
r3015,Vivid Color
r3016,Vivid Color
r3028,Noesis
r3030,Stage-nana
r3039,CIRCUS
r3041,Lilith Mist
r3042,Lilith Mist
r3054,PIL
r3055,Purple software
r3064,Lass
r3064,MAGES.
r3067,SandalDash
r3068,SandalDash
r3071,Supplement Time
r3073,Tennenouji
r3074,Tennenouji
r3080,KID
r3088,Siesta
r3089,Siesta
r3096,ensemble
r3099,Data East Corporation
r3104,KONAMI
r3104,WorkJam
r3126,M no Violet
r3129,Moviendo
r3142,Liquid
r3149,BLACKRAINBOW
r3150,BLACKRAINBOW
r3161,Ume Soft
r3168,CORE
r3168,Orbit
r3169,Senz
r3177,Studio Ring
r3209,B-Eye Communications
r3209,Mio
r3222,"Design Factory Co., Ltd."
r3222,"Idea Factory Co., Ltd."
r3222,Otomate
r3224,CYBERFRONT
r3224,MAGES.
r3228,light
r3237,Rapapuru
r3238,Lost Script
r3243,Purple software
r3258,ALcot
r3258,ALcot Honey Comb
r3270,Swanmania
r3276,dualtail
r3279,Ochin Kodomokai
r3300,Deko Pon!
r3326,Lilith Soft
r3328,Lilith Soft
r3338,Foster
r3351,Cage
r3356,Pin-Point
r3361,"Design Factory Co., Ltd."
r3361,"Idea Factory Co., Ltd."
r3361,Otomate
r3373,HERMIT
r3391,Hina Soft
r3391,Kuro Hina
r3393,Blue Gale
r3394,Selen
r3395,Minato Soft
r3408,rúf
r3411,minori
r3413,Cage
r3419,Unison Shift
r3420,Littlewitch
r3445,Cotton Soft
r3446,NITRO PLUS
r3447,Applique
r3450,Real
r3469,Swan
r3477,Aromarie
r3478,Lover Soul
r3481,Chise
r3483,Gatsun Soft
r3484,Fetish
r3497,Kururi Active
r3503,Lilith Soft
r3505,Alice Soft
r3513,OLE
r3516,CUFFS
r3522,Hina Soft
r3522,Momo Hina
r3538,Actress
r3539,BasiL
r3543,Alice Soft
r3560,Alice Soft
r3581,Bloom Handle
r3593,Alice Soft
r3599,CRAFTWORK
r3622,Icing Candy
r3622,WillPlus
r3623,"Design Factory Co., Ltd."
r3623,"Idea Factory Co., Ltd."
r3623,Otomate
r3629,TAKUYO
r3648,RUNE
r3655,LiLiM DARKNESS
r3661,HOOKSOFT
r3666,propeller
r3675,Shiratama
r3678,Nord
r3680,Sphere
r3697,Black Cyc
r3699,CIRCUS
r3725,Yuzusoft
r3727,GIGA
r3727,Team Baldrhead
r3731,Cage
r3733,SEGA
r3735,Swaneye
r3739,"Design Factory Co., Ltd."
r3739,"Idea Factory Co., Ltd."
r3739,Otomate
r3750,TiramisuVilla
r3751,Heterodoxy
r3758,Mirai
r3766,Monoceros
r3799,CYBERFRONT
r3799,MAGES.
r3810,Studio Mebius
r3814,light
r3824,Ume Soft
r3829,Swan
r3853,CYBERFRONT
r3853,MAGES.
r3865,KID
r3869,Karin Entertainment
r3875,Sekilala
r3876,Silky's
r3880,M no Violet
