vn_id,rid,vn_title,age_rating,vn_length_str,vn_length_h,has_anime,is_nukige
v1793,r3497,Discipline LS,18,2-10 h,2.500,t,t
v1794,r70367,Harukanaru Toki no Naka de,0,30-50 h,40.500,t,f
v1797,r3503,Trouble Home! ~Giri no Haha to Imouto wa Koigataki~,18,2-10 h,5.833,f,t
v1798,r3505,DALK,18,10-30 h,13.000,f,f
v1802,r3513,Oppai Baka -Oppai Igai wa Mitomenai!!-,18,Unknown,20.000,f,t
v1803,r8175,Hakuouki Zuisouroku,12,Unknown,40.000,t,f
v1804,r3516,Onii-chan Daisuki! ~Love? Or Like?~,18,2-10 h,5.833,f,f
v1808,r3522,Mama no Undoukai,18,Unknown,2.917,f,t
v1811,r4100,Kagura Douchuuki,18,Unknown,9.000,f,f
v1813,r5573,Shinjisougeki Carnival,0,2-10 h,8.000,f,f
v1814,r5567,Ludesia: Spidering with Scraping,0,2-10 h,5.517,f,f
v1819,r3538,Niji o Mitsuketara Oshiete.,18,10-30 h,18.000,f,f
v1823,r3539,21-TwoOne-,18,Unknown,17.000,f,f
v1826,r420,Zero Shiki,18,10-30 h,13.325,f,f
v1827,r420,Ningen Gari,18,0-2 h,0.500,f,f
v1828,r3543,Dr.STOP!,18,2-10 h,4.192,f,f
v1829,r134620,Rance III - Leazas Kanraku -,18,10-30 h,13.363,f,f
v1831,r97374,Azrael,18,0-2 h,5.300,f,f
v1833,r11561,6 Inch My Darling,0,10-30 h,2.500,f,f
v1836,r17407,Ai Shimai ~Futari no Kajitsu~,18,2-10 h,5.000,t,t
v1841,r3560,Kaeru nyo Panyon,18,10-30 h,20.705,f,f
v1842,r4547,Bengarachou Hakubutsushi,18,10-30 h,36.038,f,f
v1847,r8498,Kaseifu Onihei ~Sumikomi Joshiryou de Shuchinikurin~,18,Unknown,4.500,f,t
v1853,r3581,Aki no Urara no Gaiden Mayu no Osanazuma Nikki,18,0-2 h,3.000,f,f
v1858,r3661,@HoneyComing RoyalSweet,18,10-30 h,17.150,f,f
v1860,r3593,Mamatoto ~a record of war~,18,10-30 h,21.000,f,f
v1863,r3599,for elise ~Elise no Tame ni~,18,2-10 h,5.087,f,f
v1873,r3622,Bloody Call,0,10-30 h,33.033,f,f
v1874,r3624,Wand of Fortune,12,Unknown,84.333,f,f
v1877,r3629,Kaitou Apricot,0,Unknown,16.183,f,f
v1880,r19237,Ane wa Erokomi Henshuusha ~Injuu Bukkake Seishidou~,18,Unknown,4.250,f,f
v1884,r3648,ANGEL・CORE,18,10-30 h,25.350,t,f
v1888,r3655,ANGELS BLUE,18,Unknown,7.117,f,f
v1894,r5370,A profile,18,10-30 h,11.699,f,f
v1896,r4773,Coμ - Kuroi Ryuu to Yasashii Oukoku -,18,30-50 h,48.563,f,f
v1897,r3678,"Bokura no Katachi, Sekai no Katachi Schroedinger's",18,Unknown,11.417,f,f
v1898,r5306,Natsu no Ame,0,10-30 h,24.086,f,f
v1899,r3680,Haruka na Sora,18,10-30 h,11.633,f,f
v1909,r14983,Tsukisome no Kasa -the end of scarlet luna-,0,10-30 h,32.217,f,f
v1910,r3700,D.C. II ~Da Capo II~ To You - Side Episodes,18,2-10 h,11.583,f,f
v1913,r3727,"BALDR SKY Dive2 ""RECORDARE""",18,50+ h,62.293,f,f
v1915,r3731,Daisuki na Sensei ni H na Onedari Shichau Omase na Boku no / Watashi no Puni Puni,18,10-30 h,13.000,f,f
v1916,r3733,Shoujo Kakumei Utena ~Itsuka Kakumeisareru Monogatari~,0,10-30 h,12.217,t,f
v1917,r3735,Hara☆Min!! ~Saimin Nakadashi Kozukuri Sengen~,18,10-30 h,25.000,f,f
v1919,r3739,Will o' Wisp,12,Unknown,9.583,f,f
v1922,r3750,Dessert Love -Kare to no Hajimari-,18,2-10 h,3.000,f,f
v1923,r3751,Queen of Darkness,18,30-50 h,20.833,f,f
v1929,r76440,Ayumi-chan Monogatari,18,Unknown,4.250,f,t
v1930,r3758,Hoshi no Oujo,18,10-30 h,9.000,f,f
v1938,r3766,Stamp Out,18,10-30 h,8.583,f,f
v1940,r121513,Beniiro Tenjou Ayakashi Kitan,18,10-30 h,15.167,f,f
v1941,r14984,Ano Aoi Umi Yori,18,10-30 h,9.583,f,f
v1949,r3797,Memories Off 6: Next Relation,12,10-30 h,11.350,f,f
v1950,r3810,Tomodachi Ijou Koibito Miman,18,10-30 h,45.000,f,t
v1951,r3814,Paradise Lost,18,10-30 h,38.778,f,f
v1952,r6031,Hoshi no Oujo ~Uchuu Ishiki ni Mezameta Yoshitsune~,18,10-30 h,7.000,f,f
v1953,r3824,Nanpa Nama Hame Nakadashi Banzai,18,2-10 h,3.861,f,t
v1956,r3829,"Be, Betsu ni Anta no Tame ni Oshiete Agerun Ja Nain Dakara ne!",18,Unknown,2.333,f,t
v1964,r3852,Your Memories Off ~Girl's Style~,12,Unknown,33.333,f,f
v1966,r3865,Memories Off Festa,0,2-10 h,2.525,f,f
v1967,r2071,Shin Koihime † Musou ~Otome Ryouran ☆ Sangokushi Engi~,18,30-50 h,104.583,t,f
v1970,r3869,Zettai Meikyuu Grimm ~Nanatsu no Kagi to Rakuen no Otome~,12,Unknown,20.000,f,f
v1973,r3876,Be-Yond ~Kurodaishou ni Mirareteru~,18,10-30 h,14.969,t,f
v1975,r3880,Bigaku Yurika & Asuna,18,Unknown,9.250,t,f
v1982,r3888,"Binkan Athlete ""So, Soko Dame! ...Oshio Fuichau!""",18,2-10 h,19.433,t,t
v1987,r16118,Amaranto,0,10-30 h,12.517,f,f
v1993,r3909,Inugami-sama to Mujintou Shugyou♪Mezase Gekokujou! ~Nuite wa Naran! Onushi no Chitsudashi de Washi o Ikasetemisei!~,18,2-10 h,2.000,f,t
v1994,r3911,"Bijukubo ""Iyarashii Kaa-san de Gomenne...""",18,2-10 h,18.000,t,f
v1998,r3922,Heisa Byoutou,18,Unknown,1.917,t,f
v2000,r3925,Only You -Re Cross-,18,10-30 h,47.000,f,f
v2002,r5362,STEINS;GATE,15,30-50 h,44.049,t,f
v2003,r57142,Only You -Seikimatsu no Juliette-tachi-,18,10-30 h,17.967,f,f
v2007,r3936,Blaze of Destiny,18,10-30 h,37.000,f,f
v2016,r3949,Soukou Akki Muramasa,18,50+ h,75.006,f,f
v2021,r3957,Starry☆Sky ~in Spring~,0,2-10 h,10.239,t,f
v2022,r3958,Starry☆Sky ~in Summer~,0,10-30 h,9.367,t,f
v2023,r23560,Starry☆Sky ~in Autumn~,0,10-30 h,7.000,t,f
v2024,r3960,Starry☆Sky ~in Winter~,0,10-30 h,14.250,t,f
v2025,r3961,Realize,18,10-30 h,29.000,f,f
v2030,r4112,Boku no Teisou o Ubawanaide!!,18,2-10 h,4.000,f,t
v2031,r17010,Kurenai no Tsuki,18,10-30 h,10.000,f,f
v2036,r4008,Ultra Mahou Shoujo Manana vol.1,18,0-2 h,2.067,f,f
v2037,r3996,Ultra Mahou Shoujo Manana vol.2,18,0-2 h,2.050,f,f
v2038,r3995,Ultra Mahou Shoujo Manana vol.3,18,0-2 h,2.167,f,f
v2039,r3997,Ultra Mahou Shoujo Manana vol.4,18,0-2 h,0.550,f,f
v2040,r3998,Rance IV - Kyoudan no Isan -,18,10-30 h,18.998,f,f
v2041,r2108,Ultra Mahou Shoujo Manana vol.5,18,0-2 h,1.250,f,f
v2043,r4003,Rance 4.1 ~Okusuri Koujou o Sukue!~,18,2-10 h,3.428,f,f
v2044,r4004,Rance 4.2 ~Angelgumi~,18,2-10 h,3.643,f,f
v2045,r4006,Kichikuou Rance,18,30-50 h,44.167,f,f
v2046,r4007,Rance 5D - Hitoribocchi no Onna no Ko -,18,2-10 h,7.929,f,f
v2047,r4008,Rance VI - Zeth Houkai -,18,30-50 h,53.641,f,f
v2048,r33671,AmbivalenZ -Niritsu Haihan-,18,10-30 h,12.450,f,f
v2052,r4018,Anata to Mita Sakura ~Shimaizuma~,18,10-30 h,13.250,f,t
v2056,r14494,Sorafune,0,10-30 h,10.000,f,f
v2061,r10781,To Love-Ru: Doki Doki! Rinkai Gakkou-hen,12,Unknown,5.000,t,f
v2068,r44878,Innocent Blue,18,10-30 h,21.833,t,f
v2069,r4044,TRUE BLUE,18,10-30 h,7.367,t,f
v2073,r4057,X -Ekkusu-,18,0-2 h,1.967,f,t
v2076,r4061,Tsuma no Haha Sayuri,18,10-30 h,20.000,t,t
v2086,r4081,Aozameta Tsuki no Hikari,18,Unknown,25.000,f,f
v2088,r23857,Taishou Mebiusline,18,30-50 h,38.647,t,f
v2091,r4091,Cage ~Toraware no Kioku~,18,10-30 h,4.833,f,t
v2093,r1788,Edelweiss Eiden Fantasia,18,2-10 h,6.502,f,f
v2099,r4962,Love Plus,15,10-30 h,18.775,f,f
v2100,r30285,Shinkirou,0,2-10 h,4.300,f,f
v2104,r4117,Joshikousei Mana no Nakadashi Game,18,2-10 h,4.158,f,t
v2106,r4120,Sawajiri! ~Sawajiri Shimai Chikan Monogatari~,18,0-2 h,1.333,f,t
v2107,r28480,Kanojo ga Mimai ni Konai Wake,18,10-30 h,18.333,t,t
v2108,r4123,Wasurenagusa ~Forget-me-Not~,18,10-30 h,10.892,f,f
v2110,r4127,Ohanabatake no Flore,12,Unknown,9.000,f,f
v2117,r4138,Cast! -Private Heroine-,18,10-30 h,5.000,f,f
v2119,r4140,Chakku! Tsuiteru!!,18,2-10 h,4.283,f,f
v2123,r25771,KIRA☆KIRA CURTAIN CALL,18,10-30 h,7.889,f,f
v2124,r4151,Another Code: R Kioku no Tobira,0,10-30 h,10.069,f,f
v2125,r947,Kaigen Seito,18,2-10 h,8.833,f,f
v2133,r4179,Ar Tonelico II ~Sekai ni Hibiku Shoujo-tachi no Metafalica~,12,50+ h,82.041,f,f
v2140,r4199,Chichi Celeb,18,Unknown,6.000,f,f
v2153,r4222,Umineko no Naku Koro ni Chiru,17,50+ h,73.861,f,f
v2155,r4224,Spell Down,18,Unknown,9.300,f,f
v2158,r4228,Ayatsuri Bloomer,18,10-30 h,14.000,f,t
v2161,r4233,Hanakage -Ochita Mitsuka-,18,Unknown,16.167,f,f
v2166,r4241,Angelique,12,30-50 h,29.000,t,f
v2170,r23528,Neo Angelique,12,Unknown,23.250,t,f
v2174,r4262,Clever Magic,18,2-10 h,1.500,f,t
v2175,r4263,Club Romance e Youkoso,18,10-30 h,14.000,f,f
v2183,r4286,Onee-san to Amaero Milk Kissa ~Shibotte Nonde Ippai Nakadashi Shite ne♪~,18,2-10 h,1.056,f,t
v2189,r4295,Chupa Shite Ageru ~Sports Club no Onee-san~,18,10-30 h,18.000,f,t
v2190,r4296,Seito Kaichou Hikaru ~Inma ni Senryou Sareta Gakuen~,18,10-30 h,20.000,t,t
v2191,r4297,Todoroke Seiki no Daihatsumei: Ai to Ikari to Kanashimi no Himitsu Kessha Dai Ni Kagakubu,18,2-10 h,3.194,f,t
v2193,r4300,Mahjong Eiyuu x Maou,18,2-10 h,15.000,f,f
v2206,r4324,Amai Seikatsu -Saikou no Gibo to Saikou no Gishimai-,18,2-10 h,8.467,f,t
v2209,r4328,Mogitate BasiL! -commencement-,18,Unknown,5.000,f,f
v2214,r4336,Oni Chichi 2,18,2-10 h,13.817,t,t
v2224,r4350,Katekyo ~ Life,18,2-10 h,3.000,f,t
v2226,r4352,Suzunone Seven! -Sweet Lovers' Concerto-,18,Unknown,12.650,f,f
v2227,r4353,Tsuku x Tsuku Onee-san Nurse ni Tsukusareru Game,18,Unknown,3.083,f,f
v2230,r4356,Crusade,18,Unknown,11.667,f,t
v2232,r4369,Meishoku no Reiki ~Yuruyaka ni Shisuru Ao Sango no Mori~,18,30-50 h,41.000,f,f
v2233,r4371,Custom☆Sister ~Ore Chin no Iinari~,18,2-10 h,2.833,f,t
v2235,r4373,D.U.O. ~song for all~,18,10-30 h,9.000,f,f
v2246,r4407,Dark Elf Pregnant,18,2-10 h,2.083,f,t
v2247,r4408,Daughter Maker,18,10-30 h,4.217,f,f
v2249,r4413,DEEP VOICE,18,Unknown,14.750,t,f
v2258,r937,Lamento Treasure Disc,18,0-2 h,0.292,f,f
v2261,r4435,Diabolique,18,10-30 h,12.583,f,f
v2262,r4437,Disgrace,18,2-10 h,8.000,f,f
v2265,r4441,Dokidoki Chikan Densha ~Boku to Kanojo no Himitsu na Kankei~,18,2-10 h,2.500,f,t
v2267,r4446,Dokidoki Oyakodon ~Mama mo Issho ni Obenkyoukai~,18,2-10 h,2.333,f,t
v2273,r4457,Ayatsuri Haramase Dream Note,18,10-30 h,12.750,t,t
v2280,r4468,"Douryou no Oku-san ~Netori Tsuma, Netorare Tsuma~",18,Unknown,8.000,f,t
v2285,r4475,Eden,18,0-2 h,0.500,f,f
v2289,r4479,Edo Ranze ~Come on! Mito Hime-sama~,18,2-10 h,7.792,f,f
v2290,r4480,Eien to Natta Rusuban ~Papa wa Kaeranai~,18,2-10 h,1.817,f,t
v2293,r15684,ELLE,18,2-10 h,6.128,t,f
v2304,r4503,Enkaku Sousa ~Mitsuniku ni Umekomareta Remocon Vibe~,18,Unknown,7.000,f,t
v2306,r4508,Soukou Kijo Iris,18,2-10 h,7.746,t,t
v2307,r4509,Ai no Chikara,18,2-10 h,8.000,f,t
v2311,r11045,Que ~Ancient Leaf no Yousei~,12,Unknown,60.000,f,f
v2314,r4529,Eroi,18,Unknown,11.833,f,t
v2315,r4532,Escalation ~Kyouai no Fugue~,18,2-10 h,2.433,t,t
v2320,r4539,EVE-JONG,18,2-10 h,6.000,f,f
v2322,r4544,Extravaganza ~Matsuro no Hate ni~,18,0-2 h,1.629,f,t
v2323,r4543,Mushitsukai,18,2-10 h,5.900,f,t
v2325,r4550,Kyouiku Shidou,18,10-30 h,17.892,t,t
v2327,r4554,Tsuchimikado-sensei to xx na Himitsu,18,Unknown,3.583,f,t
v2330,r4557,"Tsuki no Hikari, Taiyou no Kage",18,10-30 h,17.333,f,f
v2331,r14172,Rashiel no Hakoniwa ~Shounen to Kaihou no Jumon~,18,10-30 h,5.933,f,f
v2333,r4560,Live x Evil -Shakunetsu no Edema-,18,10-30 h,7.933,f,f
v2334,r4561,Live x Evil -Nessa no Prometheus-,18,Unknown,11.217,f,f
v2337,r122567,Doukyuusei 2,18,10-30 h,27.943,t,f
v2338,r11835,DE-JA,18,10-30 h,9.372,f,f
v2340,r4586,Isaku,18,2-10 h,10.562,t,f
v2341,r4587,Kakyuusei,18,Unknown,44.539,t,f
v2342,r4572,Ashita no Yukinojou,18,10-30 h,31.497,t,f
v2344,r4575,Masaru: Ashita no Yukinojou 2,18,10-30 h,43.500,t,f
v2346,r4591,Nonomura Byouin no Hitobito,18,10-30 h,8.823,t,f
v2347,r17786,Koihime,18,2-10 h,11.333,t,f
v2349,r47083,DE-JA 2,13,Unknown,18.000,f,f
v2350,r15975,Haramasete Seiryuu-kun! ~Jinginaki Onna no Tatakai~,18,Unknown,5.417,t,t
v2351,r41724,Kawarazaki-ke no Ichizoku,18,2-10 h,6.200,t,f
v2353,r4600,Seinarukana Gaiden - Seirei Tenshou ~Kowareyuku Sekai no Shoujo-tachi~,18,2-10 h,11.000,f,f
v2360,r4613,FEARLESS],18,10-30 h,21.750,f,f
v2361,r4617,Kawarazaki-ke no Ichizoku 2,18,30-50 h,23.283,t,f
v2364,r4620,Hyakki ~Inmoku Sareta Haikyo~,18,Unknown,30.000,t,f
v2368,r7011,DEARDROPS,0,10-30 h,22.727,t,f
v2370,r4630,Fe○limpic! ~Eguchike no Kinai Jijou~,18,Unknown,7.000,f,f
v2374,r4634,Five Years,18,2-10 h,3.467,f,f
v2375,r14057,Dengeki Stryker,0,30-50 h,28.518,f,f
v2376,r4643,Dragon Knight II,18,10-30 h,9.250,f,t
v2377,r4642,Ookamikakushi,15,50+ h,41.328,t,f
v2379,r4646,flutter of birds ~Tori-tachi no Habataki~,18,Unknown,18.250,t,f
v2385,r12771,Dragon Knight,18,2-10 h,6.817,t,f
v2390,r4664,Hikari no Valusia ~What a beautiful hopes~,18,10-30 h,40.226,f,f
v2391,r42646,Dousoukai ~Yesterday Once More~,18,10-30 h,11.000,t,f
v2401,r4680,DEVOTE,18,Unknown,2.000,f,f
v2402,r4681,Furin Kazoku ~Goriyou wa Keikakuteki ni~,18,Unknown,20.000,f,t
v2404,r4685,Fu-shi-da-ra,18,2-10 h,5.000,f,f
v2406,r4690,Futago no Haha Seihonnou,18,Unknown,15.000,t,t
v2407,r4692,Futanari Kanon-chan,18,Unknown,22.000,f,t
v2412,r5563,Kiss to Maou to Darjeeling,18,10-30 h,37.383,f,t
v2418,r4716,Hitozumaman!! ~Haranda Kunoichi Tsumamigoro~,18,Unknown,74.933,f,f
v2419,r4718,Damegane,18,2-10 h,5.000,f,f
v2422,r4723,Sailor Fuku Shinryou Tsumaka ~Naisho no Ecchi na Counseling~,18,2-10 h,7.000,t,t
v2428,r4731,Natsuiro Sagittarius Gaiden Ayato-kyun no Otoko no Ko Nikki,18,2-10 h,1.750,f,t
v2429,r4739,Otose... Iyagaru Ano Ko o Biyaku de Otose!,18,Unknown,2.250,f,t
v2432,r4745,Wakazuma Mangekyou,18,2-10 h,8.425,f,f
v2433,r4748,Otto no Mae de Okasarete...,18,10-30 h,15.000,f,f
v2438,r4758,Aoi Namida,18,Unknown,29.000,f,f
v2443,r132919,Deep 2,0,Unknown,13.458,f,f
v2444,r4767,Deep Fantasy,18,Unknown,8.000,f,f
v2449,r4779,Futari no Aniyome,18,Unknown,15.000,t,f
v2455,r4794,Gakkou Mizugi ~Semen Pool de Oyoidara~,18,Unknown,2.667,f,t
v2458,r4800,Gakuen Club Triangle ~Seifuku to Shojo to Amai Kaori~,18,Unknown,8.000,f,t
v2460,r4802,Rakuen Yuki,18,Unknown,6.883,f,f
v2461,r21320,Gakuen King -Hidehiko Gakkou o Tsukuru-,18,10-30 h,13.683,f,f
v2477,r72554,HEARTWORK -Symphony of Destruction-,18,2-10 h,5.321,t,f
v2480,r4837,Aniyome wa Ijippari,18,10-30 h,9.708,t,f
v2481,r4839,Ashikoki Wakaoku-sama Shiboridashi Doumei,18,Unknown,2.000,f,f
v2489,r4857,Gekka Bijin,18,Unknown,9.000,t,f
v2490,r4858,Zoku Gekka Bijin ~Ouka no Koro~,18,Unknown,7.000,f,f
v2496,r4873,Gibo Shimai SLG,18,Unknown,15.000,f,f
v2498,r4874,Gibo to Oba ~Soshite Yuujin no Haha~,18,Unknown,10.000,f,t
v2505,r117376,"Rin ga Utau, Mirai no Neiro",0,2-10 h,3.844,f,f
v2506,r4888,Kannagi no Tori,18,30-50 h,19.225,f,f
v2510,r4909,Angel's Feather,18,30-50 h,20.717,t,f
v2511,r4910,Sono Hanabira ni Kuchizuke o: Kuchibiru to Kiss de Tsubuyaite,18,2-10 h,3.134,f,t
v2513,r14762,Boku ga Watashi ni Natta Wake ~Josou Keikaku~,18,Unknown,8.000,f,f
v2514,r4903,Hapitora -Happy Transportation-,18,10-30 h,44.000,f,f
v2516,r14843,Tropical Kiss,18,10-30 h,23.167,t,f
v2517,r4922,Crime Rhyme 3,18,10-30 h,3.233,f,t
v2518,r4921,Crime Rhyme 2,18,10-30 h,16.589,f,t
v2519,r4920,Crime Rhyme,18,10-30 h,26.325,t,t
v2520,r4919,Crime Rhyme 4,18,Unknown,0.550,f,t
v2524,r4928,Gohoushi Shimasu! Cosroid,18,Unknown,2.333,f,t
v2528,r4939,Policenauts,15,10-30 h,12.137,f,f
v2534,r4952,Pythian,18,Unknown,25.858,f,f
v2535,r4953,Kurenai no Namida,18,Unknown,8.117,f,f
v2537,r97249,Abyss -Homicide Club-,18,30-50 h,62.000,f,f
v2539,r4969,Ririshiki Bushin Reiha to Amalove Nakadashi Seikatsu! ~Watashi to Ko o Nashitekure... Ongi ni wa Kono Karada de Seishin Seii Kotaeyou~,18,2-10 h,4.583,f,t
v2542,r4971,Inaka de Shiyou! Hokkaido Hen ~Boku to Imouto-tachi no Yume Nikki~,18,2-10 h,4.083,f,t
v2547,r17673,Doki Doki Vacation ~Kirameku Kisetsu no Naka de~,18,10-30 h,7.000,f,f
v2552,r25344,Cynthia ~Sincerely to You~,0,10-30 h,9.992,f,f
v2553,r4986,Princess Party Camellia,18,Unknown,4.333,f,f
v2556,r4998,Aniyome Ijiri,18,2-10 h,3.208,f,t
v2561,r5011,Kokuhaku,0,2-10 h,1.339,f,f
v2562,r5012,Omatase! Instant ~Anata wa Dare o Meshiagaru?~,18,2-10 h,1.000,f,t
v2567,r5023,Kurai Nichiyoubi - Sombre Dimanche,15,2-10 h,8.174,f,f
v2568,r5024,Wiz Anniversary ☆ FUNTA! feat.RURU,18,2-10 h,3.017,f,f
v2574,r5037,"Boku to, Bokura no Natsu",18,10-30 h,22.650,f,f
v2579,r5048,Deep/Zero,18,Unknown,3.000,f,t
v2584,r90631,Makoto-sensei no Junan,18,2-10 h,3.833,f,f
v2585,r5058,120 Yen no Haru,15,2-10 h,3.740,f,f
v2590,r5067,"Gibo no Milk wa Mitsu no Aji ~Ippai Nonde, Amaete ne~",18,2-10 h,1.333,f,t
v2591,r5068,Thief & Sword,18,2-10 h,14.500,f,t
v2593,r5073,Kuusou Higan,0,2-10 h,14.025,f,f
v2596,r5077,Moero Downhill Night -Touge Saisoku Densetsu-,18,10-30 h,13.217,f,t
v2599,r5085,Innocence Pain ~Michiru Yami Kakeru Tsuki~,18,10-30 h,11.333,f,f
v2605,r1556,Shinshou Genmukan,18,10-30 h,17.000,t,f
v2606,r5112,Zanjibaru,18,10-30 h,16.000,f,f
v2608,r5115,Step -Futari no Kankei wa Ippo Zutsu-,18,2-10 h,16.000,f,f
v2610,r5118,Hokenshitsu no Misaki Sensei,18,Unknown,2.250,f,t
v2611,r5121,Rin x Sen ~Hakudaku Onna Kyoushi to Yaroudomo~,18,2-10 h,5.750,t,t
v2613,r5128,Koenchu! Yonogi Seiyuu Monogatari ~Sora to Kimi to Ano Natsu to~,15,2-10 h,7.167,f,f
v2614,r5129,Inkou Oyaji to Shoujo,18,Unknown,4.333,f,t
v2615,r5132,Akki Yakou -Kouzen Waisetsu Souseiji- Twin Impact,18,Unknown,3.583,f,f
v2622,r5226,Osananajimi wa Daitouryou: My girlfriend is the PRESIDENT.,17,10-30 h,28.364,f,t
v2624,r25937,Skyprythem,0,Unknown,14.500,f,f
v2626,r113141,Caucasus ~Nanatsuki no Nie~,18,10-30 h,16.118,f,f
v2627,r5161,Kurayami no Hate de Kimi o Matsu,12,Unknown,18.833,f,f
v2632,r56563,Corpse Party: Blood Covered,15,10-30 h,18.222,t,f
v2636,r5180,Phantasy Star II Text Adventure: Amia no Bouken,0,0-2 h,0.600,f,f
v2637,r5181,Phantasy Star II Text Adventure: Anne no Bouken,0,0-2 h,0.633,f,f
v2638,r5182,Phantasy Star II Text Adventure: Eusis no Bouken,0,0-2 h,0.633,f,f
v2639,r5183,Phantasy Star II Text Adventure: Huey no Bouken,0,0-2 h,0.717,f,f
v2640,r5184,Phantasy Star II Text Adventure: Kainz no Bouken,0,0-2 h,0.767,f,f
v2641,r5185,Phantasy Star II Text Adventure: Nei no Bouken,0,0-2 h,0.567,f,f
v2642,r5186,Phantasy Star II Text Adventure: Rudger no Bouken,0,0-2 h,0.683,f,f
v2643,r5187,Phantasy Star II Text Adventure: Shilka no Bouken,0,0-2 h,0.550,f,f
v2644,r5284,Love Delation!,18,Unknown,16.583,f,f
v2645,r5198,Ankoku Shinwa: Yamato Takeru Densetsu,0,2-10 h,1.600,f,f
v2650,r5206,Ripple Island,0,Unknown,4.217,f,f
v2655,r23432,Kansen ~In'yoku no Rensa~,18,10-30 h,15.217,t,t
v2661,r5239,Hell Guide,18,Unknown,10.500,f,f
v2662,r12084,Chiruhana ~Kindan no Ketsuzoku~,18,10-30 h,5.000,f,f
v2674,r5254,Maneji! Yarimasu!! ~Ase to Hakudaku no Ground 2009~,18,Unknown,0.917,f,t
v2675,r5257,Kresnik ~Saiin ni Modaeru Kyuuketsuki Hunter~,18,2-10 h,8.158,f,t
v2677,r5261,Soudentou no Mimei,0,2-10 h,4.302,f,f
v2680,r23628,Minami kara no Tegami,18,2-10 h,12.500,f,f
v2693,r5286,Kachou Fuugetsu ~Koi ni Ochitaru Hanazono no Hime~,18,Unknown,10.267,f,f
v2694,r12080,luv wave,18,10-30 h,18.000,t,f
v2697,r5290,Triangle BLUE,18,30-50 h,28.642,t,t
v2706,r5316,Custom Reido 3,18,30-50 h,20.000,f,f
v2708,r5321,EVE The Lost One,0,10-30 h,16.000,f,f
v2709,r5325,EVE ZERO,0,10-30 h,21.000,f,f
v2711,r14761,Shiden ~Enkan no Kizuna~,18,10-30 h,10.700,f,f
v2714,r5335,Atori no Sora to Shinchuu no Tsuki,18,10-30 h,40.000,f,f
v2715,r5336,Dark Blue,18,2-10 h,18.247,t,f
v2717,r5343,Icha Pri! ~Ojou-sama to Icha Love Ecchi na Mainichi~,18,10-30 h,20.000,f,t
v2721,r32096,Hadaka Apron Gakuen,18,Unknown,11.417,f,f
v2725,r5356,Hakudaku Innyuu Chart ~Seieki Chuusha Lesson~,18,0-2 h,1.583,f,t
v2726,r5357,Hana Goyomi,18,10-30 h,18.000,f,f
v2731,r4046,True Blue Short Story,18,2-10 h,3.333,f,f
v2733,r5367,Hanketsu,18,2-10 h,2.000,f,f
v2735,r5369,Hara ☆ Hara!! ~Nakadashi Gakuen Se~katsu~,18,Unknown,10.000,f,f
v2736,r45311,Hara ☆ Kano!! ~Ano Ko to Lovelove Harabote Seikatsu~,18,10-30 h,16.804,f,t
v2737,r5373,Hara Miko Shimai,18,2-10 h,4.750,f,t
v2739,r5378,Haramase Hitozuma Shimai ~Aniyome to Otoutoyome wa Ore no Seisai~,18,Unknown,2.500,f,f
v2740,r5379,Haramasete Hitozuma,18,2-10 h,10.000,f,t
v2745,r34762,Ao to Ao no Shizuku -A Calling from Tears-,18,10-30 h,16.233,f,f
v2746,r5386,Chichikuri Nurse 24 Ji,18,Unknown,6.750,f,t
v2748,r5392,Maman Kyoushitsu ~Mirai no H na Obenkyou~,18,10-30 h,10.296,f,t
v2749,r5393,Sweetest Maman!,18,Unknown,8.333,f,t
v2758,r5405,Amaenbo ~Futago Mama to Ecchi na Natsuyasumi~,18,10-30 h,17.475,f,t
v2759,r5407,Shokusou! Mahou Shoujo Hikaru,18,2-10 h,11.733,f,t
v2762,r5413,Kyonyuu Fantasy,18,10-30 h,20.551,t,t
v2765,r5419,Gakuen Seifuku Keikaku,18,Unknown,3.167,f,t
v2768,r5424,Haramasete Hitozuma 2,18,2-10 h,8.000,f,t
v2769,r5425,Hard Scandal ~In'yoku no Onna Kyoushi~,18,Unknown,12.000,f,f
v2773,r5781,Kuon no Kizuna,0,30-50 h,54.667,f,f
v2778,r5448,Mind☆Puppet ~Famires Tenchou no Abunai Yabou~,18,10-30 h,6.283,f,f
v2784,r5456,Helter Skelter ~Hakudaku no Mura~,18,10-30 h,20.000,t,t
v2790,r5494,Ar Tonelico III ~Sekai Shuuen no Hikigane wa Shoujo no Uta ga Hiku~,15,30-50 h,47.875,f,f
v2791,r5466,Yuurei wa Doukyonin!?,18,2-10 h,1.733,f,f
v2795,r5472,Kokan Hunter 2 ~Chikyuu wa Marukatta~,18,Unknown,3.500,f,t
v2806,r5493,sense off ～a sacred story in the wind～,18,10-30 h,12.989,f,f
v2809,r5500,Rasen Kairou 2,18,10-30 h,24.000,f,f
v2814,r5511,Gunsister,18,Unknown,13.033,f,f
v2828,r5531,Himegoto,18,2-10 h,7.083,f,t
v2833,r14868,Onegai O-Hoshi-sama,0,10-30 h,15.733,f,f
v2835,r14837,Amatsu Misora ni!,18,30-50 h,55.000,f,f
v2836,r6989,Ikusa Megami Verita,18,50+ h,96.085,f,t
v2840,r5557,Ikisugi! M Lesson,18,2-10 h,1.667,f,t
