vndb_id,vn_name,release_year,release_month,rating_bayesian,vn_vote_count
v10239,xxx na Kanojo ga Inaka Seikatsu o Mankitsu Suru Himitsu no Houhou (×××な彼女が田舎生活を満喫するヒミツの方法),2012,6,691,22
v1024,StarTRain,2006,9,747,37
v10240,Panic!! Kerokero Kingdom (ぱにっく!! けろけろ王国),2002,9,,3
v10244,Ryuuyoku no Melodia -Diva With the Blessed Dragonol- (竜翼のメロディア -Diva with the blessed dragonol-),2012,7,755,57
v10267,Pure Heart ~Sekai de Ichiban Anata ga Suki~ (Pure Heart ～世界で一番アナタが好き～),2000,7,610,6
v10268,Pure Maid ~Kisekae Shite ne~ (PURE MAID～着せかえしてね～),2004,11,,2
v1027,Shikkoku no Sharnoth ~What a beautiful tomorrow~ (漆黒のシャルノス ～What a beautiful tomorrow～),2008,11,754,1018
v10271,Ano Ko wa Ore kara Hanarenai (彼女はオレからはなれない),2012,8,733,92
v10272,Arcana Famiglia -Vascello Phantasma no Majutsushi- (アルカナ・ファミリア -幽霊船の魔術師-),2012,6,777,40
v10273,Kamigami no Asobi - Ludere Deorum (神々の悪戯 - Ludere deorum),2013,10,738,100
v10285,Kurenai Kagura (紅神楽),2012,7,717,24
v10288,LOVELY×CATION2,2013,2,780,406
v10289,Juuzaengi ~Engetsu Sangokuden~ (十三支演義~偃月三国伝~),2012,5,795,80
v1029,Tiara,2009,7,654,8
v10299,Ryoujoku★Kazoku System (凌辱★家族システム),2001,9,,0
v103,TRUE REMEMBRANCE,2003,5,762,1726
v10304,Koi ga Saku Koro Sakura Doki (恋がさくころ桜どき),2014,3,735,2297
v10308,Girl Doll Toy ~Tamashii o Kudasai~ (Girl Doll Toy ～魂をください～),1997,12,,3
v10309,Myuu-tan ni Omakase! (みゅうたんにおまかせ！),2007,3,,3
v1031,Airebo ~IDOL☆REVOLUTION~ (あいれぼ～IDOL☆REVOLUTION～),2008,9,681,9
v1032,Akimaho! (あきまほ!),2009,1,659,13
v10324,Ane ni Kono Natsu (姉にこの夏),2012,5,677,70
v10325,Maou no Kuse ni Namaiki da! (魔王のくせに生イキだっ！),2012,6,742,165
v10329,Shin Ai (神愛 ～Shin ai～),2002,5,670,5
v10330,Shin Gekka Bijin ~Hitori Shizuka (真月花美人 ～ひとりしづか),2001,7,,2
v10333,Shisukon (しすこん～妹魂～),2002,9,,0
v10335,Soko ni Umi ga Atte... (そこに海があって…),2003,12,,2
v10337,SPARK!,1999,12,,1
v10341,LOVELY QUEST,2012,8,714,131
v10342,Mirai Sekai no Planeta (ミライセカイのプラネッタ),2013,2,642,14
v10343,Swap A For B ~Onii-chan wa Imouto ni Narisumashi Josou Shite Joshikou e!!~ (すわっぷAふぉ～B ～お兄ちゃんは妹になりすまし女装して女子校へ!!～),2001,1,,0
v1036,Yumekoi Tensei (夢恋転生),2008,7,700,32
v10362,Touma Kojirou no Tantei File ~Opera Za no Kaijin Satsujin Jiken~ (冬馬小次郎の探偵FILE ～オペラ座の怪人殺人事件～),2012,5,565,323
v1037,Fairly Life (FairlyLife -フェアリーライフ-),2008,10,730,26
v10379,Toga ~Kegareta Shizuku~ (咎～ケガレタシズク～),2002,4,,2
v10383,Hakuouki Reimeiroku (薄桜鬼　黎明録),2010,10,769,33
v10388,Tsukushite Jan (尽くして雀),2003,5,667,5
v10389,Twins 2 -Ren'ai Miman- (Twins2 －恋愛未満－),2001,11,,2
v1039,Tenshitsuki no Shoujo (天使憑きの少女),2006,3,675,19
v10392,Fault!! Service ~Aratanaru Rival~ (フォルト!!S（サービス）～新たなる恋敵（ライバル）～),2012,6,742,112
v10396,Koi Iro Marriage (恋色マリアージュ),2012,10,732,151
v104,Zero no Tsukaima -Koakuma to Harukaze no Concerto- (ゼロの使い魔 小悪魔と春風の協奏曲),2007,2,736,21
v1040,Kiss yori Saki ni Koi yori Hayaku (キスよりさきに恋よりはやく),2008,9,666,13
v10406,DARK †Shitsuraku no Shimai Ningyou† (DARK †失楽の姉妹人形†),2005,3,,0
v1041,Before Dawn Daybreak ~Shin'en no Utahime~ (Before Dawn Daybreak ～深淵の歌姫～),2008,10,648,33
v10415,Hanairo Heptagram (花色ヘプタグラム),2012,9,734,130
v10417,Anata no Koto o Suki to Iwasete (あなたの事を好きと言わせて),2012,9,692,100
v10418,L.G.S ~Shinsetsu Houshin Engi~ (L.G.S ~新説 封神演義~),2012,8,746,14
v10419,Glass Heart Princess,2012,12,796,87
v1042,Queen Buongior-no! ~Joou wa Seifuku o Nuida~ (Queenボンジョルの！～女王は制服を脱いだ～),2006,12,739,65
v10427,Spocon! ~Sports Wear-Complex~ (すぽコン！～SPORTS WEAR-COMPLEX～),2012,7,752,107
v1044,Guren (紅蓮),1999,11,,4
v10447,Sousei Kitan Aerial (創世奇譚アエリアル),2012,6,734,90
v10448,JOKER -Shisen no Hate no Doukeshi- (ＪＯＫＥＲ -死線の果ての道化師-),2012,5,604,67
v1046,Amatsukaze ~Kugutsu Jinpuu-chou~ (天ツ風～傀儡陣風帖～),2008,8,809,80
v10463,Kamidere (かみデレ),2012,8,716,76
v10464,Yasashii Mahou no Tonaekata (優しい魔法の唱え方),2012,8,664,18
v10465,Mon o Mamoru Oshigoto (門を守るお仕事),2012,8,698,39
v1047,Katakoi no Tsuki Extra (片恋いの月えくすとら),2008,10,699,18
v10475,Seishun Hajimemashita! (青春はじめました！),2013,10,726,29
v1049,Fuyu no Rondo (冬のロンド),2008,10,717,37
v105,Killer Queen (キラークイーン),2006,7,602,760
v1050,Injoku no Seiki ~Kaikan ni Ochita Hime~ (淫辱の性姫～快姦二堕チタ姫～),2008,10,617,8
v1051,Yukiuta (ゆきうた),2003,12,703,38
v10515,Apathy - Rental Kazoku (アパシー レンタル家族),2008,6,,0
v10519,Kizuna Zero (刻無 零),2004,7,,0
v1052,Concerto Note (コンチェルトノート),2008,9,773,88
v1053,Sorauta (そらうた),2004,7,687,13
v1054,"Nogizaka Haruka no Himitsu: Cosplay, Hajimemashita♥ (乃木坂春香の秘密 こすぷれ、はじめました♥)",2008,9,658,6
v10541,Yaneura no Kanojo (屋根裏の彼女),2012,12,609,17
v10546,Sangoku Hime 2 ~Tenchi Tairan Ransei ni Kirameku Arata na Haryuu~ (三極姫2 ～天地大乱・乱世に煌く新たな覇龍～),2012,7,803,41
v10556,Touma Kojirou no Tantei File ~Seikokuka Gakuen Satsujin Jiken~ (冬馬小次郎の探偵FILE ～聖黒樺学園殺人事件～),2012,7,661,15
v10557,Himawari no Kyoukai to Nagai Natsuyasumi (向日葵の教会と長い夏休み),2012,11,789,357
