music_id,music_type,music_name,stat_correct,stat_played,stat_guessed,stat_averageguessms,avg_vote,music_vote_count
89,Ending,SCRAMBLE!,61,185,94,13819,60.0000000000000000,5
90,Opening,ORIGINAL!,182,460,300,14264,70.0000000000000000,10
91,Opening,Link-age,636,1728,876,16011,74.0000000000000000,30
92,Ending,Summer Again,252,764,428,16942,57.5000000000000000,20
92,Opening,Summer Again,126,382,214,16942,57.5000000000000000,10
93,Opening,Spring Breeze,17,93,31,13265,100.0000000000000000,5
95,Ending,Mirai kono hoshi de,4,26,12,12885,60.0000000000000000,1
96,Ending,Mirai kono hoshi de,3,24,16,11523,60.0000000000000000,1
97,Opening,went away,36,150,102,14203,70.0000000000000000,3
98,Opening,Last regrets,3930,6450,5040,13390,95.6666666666666667,75
99,Ending,Kaze no Tadoritsuku Basho,884,2444,1573,16561,93.0769230769230769,65
100,Ending,Hoshi Meguri no Uta,1120,2870,2051,14317,77.8571428571428571,35
101,Ending,Flow,1,19,5,16667,90.0000000000000000,1
102,Opening,Wind,45,159,93,14983,46.6666666666666667,3
103,Insert,Dream,6,52,19,12486,30.0000000000000000,2
104,Ending,Tsubasa,2,30,13,15523,80.0000000000000000,1
105,Opening,Tori no Uta,5648,7264,6368,12220,95.9375000000000000,80
106,Ending,Farewell Song,1208,2408,1808,13723,90.2500000000000000,40
107,Insert,Aozora,882,1770,1362,14400,89.1666666666666667,30
108,Insert,Ame no Musique,34,126,60,14941,100.0000000000000000,5
109,Ending,Melody,22,126,57,16030,100.0000000000000000,5
110,Insert,Lycéenne,28,136,58,14570,100.0000000000000000,5
111,Ending,Hello!,37,136,83,15758,90.0000000000000000,3
112,Insert,Himitsu,136,406,224,13212,95.0000000000000000,10
113,Ending,Itsudemo Hohoemi o,37,128,66,14097,80.0000000000000000,5
114,Insert,I'm always close to you,92,328,202,16267,85.0000000000000000,6
115,Insert,Fay,78,250,150,4721,90.0000000000000000,6
116,Opening,Sora no Mukou ni,200,506,294,14747,100.0000000000000000,10
117,Ending,Namida ga Hoo wo Nagaretemo,171,459,300,15148,90.0000000000000000,15
118,Opening,SHINE,3,24,10,13983,,0
119,Opening,Namikimichi no Egao,0,14,10,12784,61.0000000000000000,1
120,Ending,Koi no Highlight,0,3,1,19652,60.0000000000000000,1
121,Ending,Onetsu na Chikyuu ☆,15,47,26,14052,,0
122,Opening,Sekai ni Sayonara,637,1785,1071,14062,82.8571428571428571,35
123,Opening,Promised Land,15,51,22,15419,71.0000000000000000,5
124,Opening,SILENCE,22,122,52,11857,72.5000000000000000,6
125,Opening,Fly,9,37,15,14115,66.0000000000000000,4
126,Ending,DON'T LET GO,24,76,46,15783,70.0000000000000000,5
127,Opening,Ataraxia,219,894,558,13784,66.6666666666666667,15
128,Opening,hollow,200,622,420,13329,65.0000000000000000,10
129,Ending,our future,87,594,336,27814,83.6666666666666667,12
130,Opening,broKen NIGHT,471,894,708,16277,80.0000000000000000,15
131,Opening,holLow wORlD,695,1470,1090,13311,88.0000000000000000,20
132,Ending,Open The Doors,130,312,236,12811,87.5000000000000000,8
133,Opening,Mou Ichido Dake,1,27,14,15697,,0
134,Opening,Ganbaranai to,0,4,0,0,,0
136,Opening,Akazora Renka,624,1758,1056,13950,78.1666666666666667,30
137,Insert,Sora no Sukima,304,972,560,15794,87.0000000000000000,20
138,Ending,"Shukufuku no Daichi, Gyoukou no Sekai",328,1096,660,16425,48.7500000000000000,20
139,Opening,Hakujitsumu,76,626,248,17746,64.0000000000000000,10
141,Insert,Fortuna,5,19,15,15687,60.0000000000000000,1
142,Insert,Last moment,6,39,22,17076,70.0000000000000000,4
143,Ending,Silent wing,3,12,8,12169,65.0000000000000000,1
144,Opening,Ashura Hime,13,47,34,10418,70.0000000000000000,3
145,Opening,Gunjou no Tifaresu,445,1395,890,17794,79.0000000000000000,25
146,Ending,Crossing,680,2170,1280,19964,82.5000000000000000,50
147,Opening,inertia world,340,1320,765,16806,87.0000000000000000,25
